ID,Location-batiment,ROOM,Ground/Floor,Asset type,"Hostname/
Label",Name/Profile of current user,Brand/Model/Qty/HostSRV,Specs1,Specs2,Serial Number,Status,Vendor,Purchase date,"Purchase
price (TTC)",P.O. #,Last user,Notes
G,Direction,Secretaire General,,4GRouter,,,IDM 4G Router,,,,In use,,"Thursday, October 17, 2024",$90.00 ,,,
G,Direction ,Meeting Room,0,Active Board,,,"Smart Active Board 100""",,,,In use,,,,,,
G,Art Plastic,Chapelle,0,Amplifier,,,Amplifier,,,,In use,,,,,,
G,Art Plastic,Chapelle,0,Amplifier,,,Amplifier,,,,In use,,,,,,
G,Cycle des Maternelles,Psycomotricite,0,Amplifier,,,TOA,,,,In use,,,,,,
G,Cycle des Secondaires,Salle D'etude,0,Amplifier,,,SA-1200C,,,,In use,,,,,,
G,Cycle des Maternelles,Secretaire,0,Amplifier,,,TOA,,,,In use,,,,,,
,Bloc des Frères,BLOCK_DF_GROUND,0,AP,All AP Table 9_2F18,,AIR-AP1815I-E-K9,192.168.20.38,04:5f:b9:79:2f:18,,In use,,,,,,
G,?,?,,AP,AP8A84.564A.57A0,,AIR-AP1815I-E-K9,192.168.20.195,a8:b4:56:4a:57:a0,,In use,,,,,,
G,Cycle des Benjamin,PREFET_BENJAMIN,0,AP,APBC26.C744.12E8,,AIR-AP1815I-E-K9,192.168.20.240,bc:26:c7:44:12:e8,,In use,,,,,,
G,Bureau de Sport,BUREAU_DE_SPORT,0,AP,APBC26.C7C6.3540,,AIR-AP1815I-E-K9,192.168.20.143,bc:26:c7:c6:35:40,,In use,,,,,,
G,Cycle des Moyens,CycleDesMoyens-G0-Prefet,,AP,AP-ECONOMAT-ABOVE-STORAGE,,AIR-AP1815I-E-K9,192.168.20.131,bc:26:c7:c3:41:60,,In use,,,,,,
G,Cycle des Benjamin,CycleBenjamin-AP-tmk-g0,,AP,CycleBenjamin-AP7,,AIR-AP1815I-E-K9,192.168.20.144,bc:26:c7:c3:41:e0,,In use,,,,,,
G,Cycle des Secondaires,1AS,,AP,CycleDesSecondaires-G-2_1as,,AIR-AP1815I-E-K9,192.168.20.11,bc:26:c7:19:82:e8,,In use,,,,,,
G,Cycle des Secondaires,1AS C,,AP,CycleDesSecondaires-G-2 1as-C,,AIR-AP1815I-E-K9,192.168.20.24,bc:26:c7:c3:48:c0,,In use,,,,,,
G,Cycle des Secondaires,1AS D,,AP,CycleDesSecondaires-G-2 1as-D,,AIR-AP1815I-E-K9,192.168.20.97,bc:26:c7:c6:34:60,,In use,,,,,,
G,Cycle des Secondaires,1AS F,,AP,CycleDesSecondaires-G-2 1as-F,,AIR-AP1815I-E-K9,192.168.20.86,bc:26:c7:19:82:58,,In use,,,,,,
G,Cycle des Secondaires,1AS G,,AP,CycleDesSecondaires-G-2 1as-G,,AIR-AP1815I-E-K9,192.168.20.49,bc:26:c7:c6:34:60,,In use,,,,,,
G,Cycle des Secondaires,1AS G,,AP,CycleDesSecondaires-G-2 Reli,,AIR-AP1815I-E-K9,192.168.20.121,bc:26:c7:c3:12:c8,,In use,,,,,,
G,Cycle des Secondaires,2AS A,,AP,CycleDesSecondaires-G0-2as-A,,AIR-AP1815I-E-K9,192.168.20.73,bc:26:c7:c3:48:c8,,In use,,,,,,
G,Cycle des Secondaires,2AS C,,AP,CycleDesSecondaires-G0-2as-C,,AIR-AP1815I-E-K9,192.168.20.58,bc:26:c7:c3:24:58,,In use,,,,,,
G,Cycle des Secondaires,2AS D,,AP,CycleDesSecondaires-G0-2as-D,,AIR-AP1815I-E-K9,192.168.20.44,bc:26:c7:c3:41:98,,In use,,,,,,
G,Cycle des Secondaires,2AS F,,AP,CycleDesSecondaires-G0-2as-F,,AIR-AP1815I-E-K9,192.168.20.71,bc:26:c7:c3:41:78,,In use,,,,,,
G,Cycle des Secondaires,2AS G,,AP,CycleDesSecondaires-G0-2as-G,,AIR-AP1815I-E-K9,192.168.20.96,bc:26:c7:c3:4a:a0,,In use,,,,,,
G,Cycle des Petits 2,8eme B,,AP,CycleDesPetits-G1-EB4-B,,AIR-AP1815I-E-K9,192.168.20.59,bc:26:c7:42:c2:50,,In use,,,,,,
G,Cycle des Petits,8eme C,,AP,CycledesPetits-GO-Surv-CD,,AIR-AP1815I-E-K9,192.168.20.19,bc:26:c7:c3:4b:18,,In use,,,,,,
G,Cycle des Petits 2,8eme D,,AP,CycleDesPetits-G0-EB4-D,,AIR-AP1815I-E-K9,192.168.20.128,04:5f:b9:79:2e:10,,In use,,,,,,
G,Cycle des Petits 2,8eme E,,AP,CycledesPetits-G1-E,,AIR-AP1815I-E-K9,192.168.20.127,bc:26:c7:19:83:08,,In use,,,,,,
G,Cycle des Petits 2,8eme F,,AP,CycleDesPetits-G0-EB4-F,,AIR-AP1815I-E-K9,192.168.20.129,bc:26:c7:c6:33:60,,In use,,,,,,
G,Cycle des Petits 2,8eme G,,AP,CycledesPetits-G1-G,,AIR-AP1815I-E-K9,192.168.20.39,bc:26:c7:44:22:70,,In use,,,,,,
G,Cycle des Moyens - Labs,amicale,,AP,CycleDesMoyen_G-2-Amicale,,AIR-AP1815I-E-K9,192.168.20.112,bc:26:c7:19:81:d6,,In use,,,,,,
G,Bloc des Frères,AP,,AP,CycleBlocDesFreres-AP6,,AIR-AP1815I-E-K9,192.168.20.37,bc:26:c7:c3:48:e0,,In use,,,,,,
G,Cycle des Grands,AP,,AP,CycleDesGrands3-AP8,,AIR-AP1815I-E-K9,192.168.20.99,bc:26:c7:c3:48:d8,,In use,,,,,,
G,Cycle Des Minimes,Minime tchk,,AP,CycleDesMinimes-AP9,,AIR-AP1815I-E-K9,192.168.20.13,bc:26:c7:c3:f0:00,,In use,,,,,,
G,Cycle des Petits,AP,,AP,CycleDesPetitsAdmin-AP4,,AIR-AP1815I-E-K9,192.168.20.60,00:ea:bd:64:f7:20,,In use,,,,,,
G,Cycle des Petits,AP,,AP,CycledesPetits-AP6,,AIR-AP1815I-E-K9,192.168.20.72,bc:26:c7:c3:49:10,,In use,,,,,,
G,Cycle des Secondaires,Info,,AP,CycleDesSecondaires-G-2_Salle,,AIR-AP1815I-E-K9,192.168.20.130,bc:26:c7:c3:4b:a0,,In use,,,,,,
G,Cycle des Maternelles,AP,,AP,CycleMaternelle-AP3,,AIR-AP1815I-E-K9,192.168.20.33,bc:26:c7:c6:34:60,,In use,,,,,,
G,Cycle des Maternelles,AP,,AP,CycleMaternelle-AP6,,AIR-AP1815I-E-K9,192.168.20.92,bc:26:c7:c3:36:58,,In use,,,,,,
G,Art Plastic,Art Plastic salle 1,,AP,Art_plastic_salle1,,AIR-AP1815I-E-K9,192.168.20.124,bc:26:c7:c6:34:58,,In use,,,,,,
G,Cycle des Petits 2,BCD,,AP,PETIT2-GRD2-BCD,,AIR-AP1815I-E-K9,192.168.20.56,00:ea:bd:64:f0:18,,In use,,,,,,
G,Bureau de Sport,cantine direction,,AP,Bureaudesport G0_Cantine,,AIR-AP1815I-E-K9,192.168.20.18,bc:26:c7:c3:42:10,,In use,,,,,,
G,Cycle des Secondaires,cdr,,AP,CycleSecondaire-G0-CDR,,AIR-AP1815I-E-K9,192.168.20.55,bc:26:c7:c3:24:58,,In use,,,,,,
